iteration,variant_id,original_rows,unique_titles_in_group,rows_after_dedup,duplicates_removed
9,llama-subject_matter,5,5,5,0
9,llama-subject_matter2,5,5,5,0
9,mistral-generalist,5,5,5,0
9,mistral-generalist2,5,5,5,0
9,mistral-normative,5,5,5,0
9,mistral-normative2,5,5,5,0
9,mistral-subject_matter,5,5,5,0
9,mistral-subject_matter2,5,5,5,0
9,phi4-generalist,5,5,5,0
9,phi4-generalist2,5,5,5,0
9,phi4-normative,5,5,5,0
9,phi4-normative2,5,5,5,0
9,phi4-subject_matter,5,5,5,0
9,phi4-subject_matter2,5,5,5,0
