title,company,location,posted,summary,url
Electrical Manager,Boeing,"Hamburg, Germany","Posted 7 days ago
                
                                      
                    Deadline 31 March","Provide visionary leadership and strategic direction for the future of commercial aircraft modification within Boeing, overseeing EASA Modifications programs to ensure alignment with company goals and regulatory requirements; Lead and inspire a",/job_display/288240/Electrical_Manager_Boeing_Hamburg_Germany
Senior Computer Vision Engineer,STARK Defence,"Thessaloniki, Greece",Posted 8 days ago,"Enhance and scale existing real-time perception capabilities for autonomous military UAVs. You will contribute to the development, optimization, and deployment of computer vision modules within an established architecture and technology stack, improving",/job_display/288181/Senior_Computer_Vision_Engineer_STARK_Defence_Thessaloniki_Greece
Senior Navigation Engineer,STARK Defence,"Thessaloniki, Greece",Posted 8 days ago,Lead the design and deployment of robust GNSS-denied navigation systems for autonomous unmanned platforms operating in contested and degraded environments. You will ensure our systems remain mission-capable even when traditional positioning signals are,/job_display/288174/Senior_Navigation_Engineer_STARK_Defence_Thessaloniki_Greece
Lead Engineer Exteriors,Lightyear,"Venray, Netherlands",Posted 11 days ago,"You will be responsible for the mechanical and structural integration of solar technology into the outer “skin” of OEM vehicles, including closures (hood, tailgate), exterior body panels, and supporting structures. You bridge the world of automotive",/job_display/288074/Lead_Engineer_Exteriors_Lightyear_Venray_Netherlands
Senior Power Systems Engineer,Cyient,"Vaasa or Pietarsaari, Finland",Posted 12 days ago,"This pivotal role involves overseeing technical project management and engineering activities within the Electrical disciplines power system area. As a power system Engineer, you will collaborate with colleagues and customers globally, contributing to",/job_display/288003/Senior_Power_Systems_Engineer_Cyient_Vaasa_or_Pietarsaari_Finland
Senior Mechanical Development Engineer,IDE - Intracom Defense,"Koropi, Greece",Posted 13 days ago,"Involve in the development of defense projects encompassing the complete development cycle from system requirements specification, design, analysis, technical data package, prototype development, integration, prototype testing and installation, safety",/job_display/287956/Senior_Mechanical_Development_Engineer_IDE_Intracom_Defense_Koropi_Greece
Senior Project Manager,PROCHEM Engineering,"Cork, Ireland",Posted 13 days ago,"Responsible for assembling a project team, assigning individual responsibilities, identifying appropriate resources needed, and developing schedules to ensure timely completion of project. Record detailed customer requirements, constraints, and",/job_display/287940/Senior_Project_Manager_PROCHEM_Engineering_Cork_Ireland
(Senior) Mechatronics Engineer,ARX Robotics,"Munich, Germany",Posted 14 days ago,"In this role you'll lead the design, development, and integration of electrical systems for our robots. You will be responsible for component selection, electrical integration of sensors and payloads, as well as developing and testing prototypes to",/job_display/287878/Senior_Mechatronics_Engineer_ARX_Robotics_Munich_Germany
R&D Engineer Consumer Tread Compounds,Bridgestone,"Rome, Italy",Posted 15 days ago,"In this position, she/he will be responsible to manage new Tread compound development programs realizing virtual and physical tire prototypes for performances assessment, leading FMEA preparation and definition/execution of validation plan, promote and",/job_display/287811/RD_Engineer_Consumer_Tread_Compounds_Bridgestone_Rome_Italy
Service Delivery Coordinator,EUMETSAT - European Organisation for the Exploitation of Meteorological Satellites,"Darmstadt, Germany","Posted 18 days ago
                
                                      
                    Deadline 10 April","Translates infrastructure user needs into suitable IT solutions and is responsible for the end-to-end infrastructure service delivery on time, on cost and on quality. The postholder also plays a key role on improving the infrastructure as a service",/job_display/287798/Service_Delivery_Coordinator_EUMETSAT_European_Organisation_for_the_Exploitation_of_Meteorological_Satellites_Darmstadt_Germany
Principal Test Development Engineer,ADI - Analog Devices,"Limerick, Ireland",Posted 18 days ago,"The successful candidate will work closely with an extensive new product development team as part of a multi-Engineer Test team, assuming responsibility for the development of innovative high performance mass production ready",/job_display/287776/Principal_Test_Development_Engineer_ADI_Analog_Devices_Limerick_Ireland
"Production Engineering Manager, Battery Cell",Tesla,"Grünheide, Germany",Posted 19 days ago,"In this role, you will lead a team of engineers to design and optimize high-throughput manufacturing systems. You will work closely with operations teams to align technical improvements with production demands, ensuring seamless execution in a fast-paced,",/job_display/287728/Production_Engineering_Manager_Battery_Cell_Tesla_Grnheide_Germany
Electrical Technician,ESRF - European Synchrotron Radiation Facility,"Grenoble, France",Posted 19 days ago,"Be in charge of HV/LV and low current networks from initial specifications through to final installation; Be in charge of commissioning and start-up activities, ensuring compliance with all technical specifications; Oversee site work contracts",/job_display/287715/Electrical_Technician_ESRF_European_Synchrotron_Radiation_Facility_Grenoble_France
Head of the In-Orbit Technology Demonstration Division,ESA - European Space Agency,"Noordwijk, Netherlands",Expiring today Posted 19 days ago,"In this leadership role, you will serve as ESA’s focal point for technology IOD/IOV strategy, fostering collaboration across all ESA directorates and programmes. You will develop state-of-the-art capabilities and techniques to efficiently implement",/job_display/287702/Head_of_the_In_Orbit_Technology_Demonstration_Division_ESA_European_Space_Agency_Noordwijk_Netherlands
"Senior Staff Engineer, Advanced Operations - Biomaterials",Stryker,"Carrigtwohill, Ireland",Posted 19 days ago,Responsible for leading supplier-facing technical projects and industrialization activities in the biomaterials space. This role provides technical leadership across cross-functional teams to deliver robust manufacturing processes and supply readiness,/job_display/287690/Senior_Staff_Engineer_Advanced_Operations_Biomaterials_Stryker_Carrigtwohill_Ireland
Head of Body Complete,Rimac Automobili,"Zagreb, Croatia",Posted 20 days ago,"Lead and support your team in delivering Body Complete engineering activities across all programs; Define team structure, guide development, and allocate workload effectively; Collaborate with Managers to determine outsourcing requirements and budget",/job_display/287616/Head_of_Body_Complete_Rimac_Automobili_Zagreb_Croatia
Equipment Project Optimization Global Manager,Axens,"Rueil-Malmaison, France",Posted 21 days ago,We are seeking an experienced Engineer in charge of Equipment Project Optimization and Derisking as well as Quality Assurance global leader for complex Equipment projects involving fired heaters and modular units in the refining,/job_display/287590/Equipment_Project_Optimization_Global_Manager_Axens_Rueil_Malmaison_France
Director Operations Engineering - EMEA - PCBA Manufacturing,Flex,"Timisoara, Tczew or Budapest, Multiple Countries",Posted 21 days ago,Be responsible to direct and coordinate activities of personnel engaged in the Manufacturing operations to drive Process development and manage technical relationship with customer to support NPI processes for CEC Global operations.,/job_display/287575/Director_Operations_Engineering_EMEA_PCBA_Manufacturing_Flex_Timisoara_Tczew_or_Budapest_Multiple_Countries
Engineering Manager,Wood Group,"Aberdeen, United Kingdom",Posted 22 days ago,"You will play a pivotal role in bridging the gap between clients, engineering teams and other project functions. Acting as a single point of contact with the client, the Engineering Manager ensures that all design related discussions, technical concerns",/job_display/287496/Engineering_Manager_Wood_Group_Aberdeen_United_Kingdom
"Sr Compliance Design Engineer, Energy and Charging, EMEA",Tesla,"Freiburg, Germany",Posted 25 days ago,"This role serves as the critical bridge between product design and regulatory compliance. You'll be embedded directly within our Engineering teams, delivering real-time guidance on safety, EMC, interoperability, and performance criteria. You'll define the",/job_display/287452/Sr_Compliance_Design_Engineer_Energy_and_Charging_EMEA_Tesla_Freiburg_Germany
Senior Process Engineer - Nuclear Fuel Manufacturing,Westinghouse Electric Company,"Västerås, Sweden",Posted 26 days ago,"Your main responsibility will be to support and develop our pellet manufacturing operations. Among other things you will support manufacturing processes, contributing to development, improvement, and investment projects; Provide deep technical expertise",/job_display/287382/Senior_Process_Engineer_Nuclear_Fuel_Manufacturing_Westinghouse_Electric_Company_Vsters_Sweden
Senior Electrical Design Engineer - Automotive EV Traction Solutions,onsemi,"Munich, Germany",Posted 27 days ago,"You have ownership of the electrical design of the power module. We want you to lead initiatives to consolidate the electrical characteristics of the chip, package and application into physical electrical models that can be holistically analyzed; after",/job_display/287335/Senior_Electrical_Design_Engineer_Automotive_EV_Traction_Solutions_onsemi_Munich_Germany
Structural Analysis Engineer - Aircraft Systems,Boeing,"Rzeszów, Poland","Posted 27 days ago
                
                                      
                    Deadline 31 March","Perform structural analysis of aircraft systems. Structural analysis includes calculation of loads, static and fatigue analyses; Evaluate structural integrity of aircraft components by way of classical hand calculations; Generate documentation (stress",/job_display/287314/Structural_Analysis_Engineer_Aircraft_Systems_Boeing_Rzeszw_Poland
System Calibration Manager,Magneti Marelli,"Bologna, Italy",Posted 28 days ago,"You will be capable of ensuring the calibration, optimization, and validation of engine control unit algorithms, in compliance with quality standards, Marelli procedures, and industry regulations, leading and technically developing a team of Application",/job_display/287288/System_Calibration_Manager_Magneti_Marelli_Bologna_Italy
"Mechanical Design Engineer - Cabin Engineering, Interior Lighting & Switches",Tesla,"Berlin, Germany",Posted 28 days ago,"Engineer, develop and execute world-class interior lighting and switch assembly systems that meet styling intent and are compliant to regulatory requirements; Develop novel designs that enable the adoption of new technologies that align with the design",/job_display/287277/Mechanical_Design_Engineer_Cabin_Engineering_Interior_Lighting_Switches_Tesla_Berlin_Germany
Thermal Engineering Manager,Vertiv,"Piove di Sacco, Italy",Posted 29 days ago,"Responsible in the NPDI process for what concern the engineering deliverable (thermodynamic selection and GRS/rating tool, product cost) in cooperation with Engineering Manager; Operational responsibility for the thermodynamic design and numerical",/job_display/287232/Thermal_Engineering_Manager_Vertiv_Piove_di_Sacco_Italy
Lead Power Systems Engineer (EMEA),Tesla,"Amsterdam, Netherlands",Posted 32 days ago,"Develop in-house models and support our energy storage, solar, and electric charging projects. You will be responsible for supporting utility-scale projects in the EMEA region. You will provide strategic inputs in AHJ engagements and represent Tesla as a",/job_display/287123/Lead_Power_Systems_Engineer_EMEA_Tesla_Amsterdam_Netherlands
Principal Mixed-Signal Design Engineer,ADI - Analog Devices,"Valencia or Munich, Multiple Countries",Posted 33 days ago,"You will work on the development of ADC, DAC, and/or SerDes PHY subsystems for highly sophisticated mixed-signal system-on-chip (SoC) integrated circuit products using FinFET wafer technologies. Designing challenging transistor-level mixed-signal",/job_display/287093/Principal_Mixed_Signal_Design_Engineer_ADI_Analog_Devices_Valencia_or_Munich_Multiple_Countries
Advanced Development Project Manager,Valeo,"Prague, Czech Republic",Posted 33 days ago,"Lead advanced development projects for creating new standards, with a Project Team in compliance with approved PAA, and performance objectives (Quality, Cost, Timing, Scope of Application). Check and validate Project Team Members activities and define",/job_display/287074/Advanced_Development_Project_Manager_Valeo_Prague_Czech_Republic
Senior Process Engineer - PSC,Wood Group,"Glasgow, United Kingdom",Posted 35 days ago,"Lead the process design activities on smaller scopes ensuring that design meets contractual, safety and quality requirements and is delivered on time and within assigned budgets. Support the Lead Process Engineer on the delivery of projects. Ensure",/job_display/286940/Senior_Process_Engineer_PSC_Wood_Group_Glasgow_United_Kingdom
ESA Project Manager,Sybilla Technologies,"Bydgoszcz or Zielonka, Poland",Posted 36 days ago,"Own and deliver ESA projects end-to-end - from contract kick-off through execution, reviews, and formal closure. Translate contractual and technical requirements into clear project plans, timelines, and deliverables. Manage scope schedule, budget, risks,",/job_display/286933/ESA_Project_Manager_Sybilla_Technologies_Bydgoszcz_or_Zielonka_Poland
Project Manager,Atlas UAS,"Riga, Latvia",Posted 36 days ago,"This role works closely with cross-functional teams, manages resources and budgets, tracks progress using KPIs and reports, and makes sure quality standards are met. The position supports the development of advanced UAVs and related systems.",/job_display/286894/Project_Manager_Atlas_UAS_Riga_Latvia
Manufacturing Engineer Drive Unit and Battery Pack,Tesla,"Grünheide, Germany",Posted 36 days ago,"Design, procure, and fully commission equipment, specifically: stakeholder buy-in, RFQ, vendor selection, decision analysis, project workflow approvals, installation, and commissioning. Considering different projects to be handled in parallel.",/job_display/286890/Manufacturing_Engineer_Drive_Unit_and_Battery_Pack_Tesla_Grnheide_Germany
Technical Lead - Composites Industrialization,Oreca,"Signes, France",Posted 39 days ago,"As a key reference for composite manufacturing methods, you will work with a high level of autonomy on the development, validation and optimization of manufacturing processes, in a demanding environment driven by performance and tight deadlines.",/job_display/286852/Technical_Lead_Composites_Industrialization_Oreca_Signes_France
Construction Engineer F/M,ESRF - European Synchrotron Radiation Facility,"Grenoble, France",Posted 39 days ago,Coordination of the feasibility and design studies while managing the tendering process and supervising the construction works; Participation in the selection of the main contractors and subcontractors; Coordination with other ESRF divisions for the,/job_display/286840/Construction_Engineer_F_M_ESRF_European_Synchrotron_Radiation_Facility_Grenoble_France
Material & Process Engineer (f/m/d),Peak Technology,"Holzhausen, Austria",3 days left Posted 40 days ago,"You want to actively develop, qualify, and continuously improve materials and manufacturing processes rather than just apply them? You enjoy working at the interface between engineering, manufacturing, and quality, with a clear focus on product quality,",/job_display/286802/Material_Process_Engineer_f_m_d_Peak_Technology_Holzhausen_Austria
Wastewater Treatment Senior Project Manager,Axens,"Rueil-Malmaison or Hertogenbosch, Multiple Countries",3 days left Posted 40 days ago,"You manage all coordination with the client EPC (detailed engineering team) in charge of civil guidelines, detailed piping, electrical and mechanical design. Leading the project engineering team and guaranteeing that all engineering documents are",/job_display/286788/Wastewater_Treatment_Senior_Project_Manager_Axens_Rueil_Malmaison_or_Hertogenbosch_Multiple_Countries
Lead Electronics Engineer,OPmobility,"Krakow, Poland",2 days left Posted 41 days ago,"Lead and coordinate the electronics development activities from RFQ to SOP, including organizing regular meetings with the electronics team; Create, maintain, and update the electronics development timeline, ensuring alignment with project cost, quality,",/job_display/286724/Lead_Electronics_Engineer_OPmobility_Krakow_Poland
"(Senior) Electronics Failure Analysis Engineer, Energy",Tesla,"Freiburg, Germany",Expiring today Posted 43 days ago,"We are seeking a multi-faceted individual who will be responsible for all aspects of identifying, analyzing, root causing, implementing countermeasures, and reporting on issues effecting systems including power electronics, low voltage",/job_display/286563/Senior_Electronics_Failure_Analysis_Engineer_Energy_Tesla_Freiburg_Germany
Mechanical Supervisor,Nordex,"Barásoain, Spain",Posted today,,/job_display/288549/Mechanical_Supervisor_Nordex_Barsoain_Spain
Process & Tool Engineer - Hardware,Magna,"Timisoara or Iasi, Romania",Posted today,,/job_display/288540/Process_Tool_Engineer_Hardware_Magna_Timisoara_or_Iasi_Romania
Principal Engineer,Exponent,"London, United Kingdom",Posted today,,/job_display/288537/Principal_Engineer_Exponent_London_United_Kingdom
Electrical Application Engineer,Baker Hughes,"Florence, Italy",Posted today,,/job_display/288532/Electrical_Application_Engineer_Baker_Hughes_Florence_Italy
Instrumentation Lead Engineer,Baker Hughes,"Florence, Italy",Posted today,,/job_display/288529/Instrumentation_Lead_Engineer_Baker_Hughes_Florence_Italy
Algorithm Design Engineer Radar,VeroTech,"Leuven, Belgium",Posted today,,/job_display/288519/Algorithm_Design_Engineer_Radar_VeroTech_Leuven_Belgium
Electrical Engineer (Seat Integration),Boeing,"Hamburg, Germany","Posted today
                
                                      
                    Deadline 31 March",,/job_display/288515/Electrical_Engineer_Seat_Integration_Boeing_Hamburg_Germany
"Associate Manufacturing Engineer, Plastics",Tesla,"Grünheide, Germany",Posted today,,/job_display/288514/Associate_Manufacturing_Engineer_Plastics_Tesla_Grnheide_Germany
Senior Powerplant Manager,Wizz Air,"Budapest, Hungary",Posted 1 day ago,,/job_display/288479/Senior_Powerplant_Manager_Wizz_Air_Budapest_Hungary
Senior Automation Equipment Engineer,Hovione,"Lisbon, Portugal",Posted 1 day ago,,/job_display/288463/Senior_Automation_Equipment_Engineer_Hovione_Lisbon_Portugal
Module Team Leader,Electrolux,"Żarów, Poland",Posted 1 day ago,,/job_display/288462/Module_Team_Leader_Electrolux_arw_Poland
Senior Project Manager - Security & Access Control Systems,Delta Energy Systems,"Dresden, Germany",Posted 1 day ago,,/job_display/288460/Senior_Project_Manager_Security_Access_Control_Systems_Delta_Energy_Systems_Dresden_Germany
Principal Analog IC Design Engineer,ADI - Analog Devices,"Edinburgh or Glasgow, United Kingdom",Posted 1 day ago,,/job_display/288455/Principal_Analog_IC_Design_Engineer_ADI_Analog_Devices_Edinburgh_or_Glasgow_United_Kingdom
"Engineer, Product Applications",ADI - Analog Devices,"Limerick, Ireland",Posted 1 day ago,,/job_display/288454/Engineer_Product_Applications_ADI_Analog_Devices_Limerick_Ireland
Digital Electronics Design Engineer,IDE - Intracom Defense,"Koropi, Greece",Posted 1 day ago,,/job_display/288451/Digital_Electronics_Design_Engineer_IDE_Intracom_Defense_Koropi_Greece
"Mechanical Design Engineer, Chassis",Tesla,"Berlin, Germany",Posted 1 day ago,,/job_display/288445/Mechanical_Design_Engineer_Chassis_Tesla_Berlin_Germany
Senior Expert Electrical Engineering,OMV Group,"Bucharest, Romania",Posted 4 days ago,,/job_display/288440/Senior_Expert_Electrical_Engineering_OMV_Group_Bucharest_Romania
Project Manager of Installation - Imaging,GE HealthCare,"Dublin, Ireland",Posted 4 days ago,,/job_display/288438/Project_Manager_of_Installation_Imaging_GE_HealthCare_Dublin_Ireland
"Compliance Test Engineer, Charging EMEA",Tesla,"Freiburg, Germany",Posted 4 days ago,,/job_display/288436/Compliance_Test_Engineer_Charging_EMEA_Tesla_Freiburg_Germany
Mechanical Engineer,Harmattan AI,"Paris, France",Posted 4 days ago,,/job_display/288435/Mechanical_Engineer_Harmattan_AI_Paris_France
Senior Staff Engineer GaN Technology Development,Infineon,"Villach, Austria",Posted 4 days ago,,/job_display/288433/Senior_Staff_Engineer_GaN_Technology_Development_Infineon_Villach_Austria
Senior Manufacturing Engineer - Electrical/Avionic Systems,Deutsche Aircraft,"Leipzig, Germany",Posted 4 days ago,,/job_display/288432/Senior_Manufacturing_Engineer_Electrical_Avionic_Systems_Deutsche_Aircraft_Leipzig_Germany
Senior Director Hardware Engineering,LivaNova,"Munich, Germany",Posted 4 days ago,,/job_display/288431/Senior_Director_Hardware_Engineering_LivaNova_Munich_Germany
Electrolyte Process Development Engineer,BASQUEVOLT,"Vitoria-Gasteiz, Spain",Posted 4 days ago,,/job_display/288430/Electrolyte_Process_Development_Engineer_BASQUEVOLT_Vitoria_Gasteiz_Spain
Electronics Engineer,Satellite Vu,"Guildford, United Kingdom",Posted 4 days ago,,/job_display/288418/Electronics_Engineer_Satellite_Vu_Guildford_United_Kingdom
System Engineer Radar,Valeo,"Prague, Czech Republic",Posted 5 days ago,,/job_display/288377/System_Engineer_Radar_Valeo_Prague_Czech_Republic
Head of Mechanical Systems,Deutsche Aircraft,"Oberpfaffenhofen, Germany",Posted 5 days ago,,/job_display/288376/Head_of_Mechanical_Systems_Deutsche_Aircraft_Oberpfaffenhofen_Germany
Lead Electronics & Electrical Engineer,Baker Hughes,"Nailsea, United Kingdom",Posted 5 days ago,,/job_display/288375/Lead_Electronics_Electrical_Engineer_Baker_Hughes_Nailsea_United_Kingdom
Supply Chain Manager - Electronics,Tesla,"Grünheide (Mark), Germany",Posted 5 days ago,,/job_display/288374/Supply_Chain_Manager_Electronics_Tesla_Grnheide_Mark_Germany
R&D Applied Researcher - Tire Noise Engineer,Bridgestone,"Rome, Italy",Posted 5 days ago,,/job_display/288371/RD_Applied_Researcher_Tire_Noise_Engineer_Bridgestone_Rome_Italy
Project Manager for Product Realization of Power MOSFETs,Infineon,"Villach, Austria",Posted 5 days ago,,/job_display/288368/Project_Manager_for_Product_Realization_of_Power_MOSFETs_Infineon_Villach_Austria
Bioprocess Engineer USP/DSP (Microbial)/BioConjugates,Lonza,"Visp, Switzerland",Posted 5 days ago,,/job_display/288364/Bioprocess_Engineer_USP_DSP_Microbial_BioConjugates_Lonza_Visp_Switzerland
Engineering Manager,Boeing,"Rzeszów, Poland","Posted 6 days ago
                
                                      
                    Deadline 1 April",,/job_display/288311/Engineering_Manager_Boeing_Rzeszw_Poland
"Systems Engineer, Functional Integration",ITER - International Thermonuclear Experimental Reactor,"Saint-Paul-lez-Durance, France","Posted 6 days ago
                
                                      
                    Deadline 12 April",,/job_display/288310/Systems_Engineer_Functional_Integration_ITER_International_Thermonuclear_Experimental_Reactor_Saint_Paul_lez_Durance_France
Lead Electrical Engineer,IPS - Industrial Project Services,"Dublin or Cork, Ireland",Posted 6 days ago,,/job_display/288309/Lead_Electrical_Engineer_IPS_Industrial_Project_Services_Dublin_or_Cork_Ireland
Staff Engineer Functional Verification & Methodology,Infineon,"Munich, Germany",Posted 6 days ago,,/job_display/288307/Staff_Engineer_Functional_Verification_Methodology_Infineon_Munich_Germany
Design Engineer,Ingersoll Rand,"Waterford, Ireland",Posted 6 days ago,,/job_display/288306/Design_Engineer_Ingersoll_Rand_Waterford_Ireland
Systems Architect - Electronic Warfare,Helsing,"Munich, Germany",Posted 6 days ago,,/job_display/288302/Systems_Architect_Electronic_Warfare_Helsing_Munich_Germany
R&D Manufacturing Interface Engineer,ADB Safegate,"Zaventem, Belgium",Posted 6 days ago,,/job_display/288300/RD_Manufacturing_Interface_Engineer_ADB_Safegate_Zaventem_Belgium
"Chief Project Manager, Water Access and Sustainability",Grundfos,"Bjerringbro, Denmark",Posted 7 days ago,,/job_display/288249/Chief_Project_Manager_Water_Access_and_Sustainability_Grundfos_Bjerringbro_Denmark
Electrical Engineer,Grundfos,"Székesfehérvár, Hungary",Posted 7 days ago,,/job_display/288248/Electrical_Engineer_Grundfos_Szkesfehrvr_Hungary
Manufacturing Engineer - Electrical/Avionic Systems,Deutsche Aircraft,"Leipzig, Germany",Posted 7 days ago,,/job_display/288245/Manufacturing_Engineer_Electrical_Avionic_Systems_Deutsche_Aircraft_Leipzig_Germany
R&D Engineer Consumer OE Carcass Technology Implementation,Bridgestone,"Rome, Italy",Posted 7 days ago,,/job_display/288243/RD_Engineer_Consumer_OE_Carcass_Technology_Implementation_Bridgestone_Rome_Italy
Piping Materials Engineer,Bluewater,"Hoofddorp, Netherlands",Posted 7 days ago,,/job_display/288241/Piping_Materials_Engineer_Bluewater_Hoofddorp_Netherlands
Senior Project Manager - Process/Hydrogen EMEA,Black & Veatch,"Glasgow, United Kingdom",Posted 7 days ago,,/job_display/288239/Senior_Project_Manager_Process_Hydrogen_EMEA_Black_Veatch_Glasgow_United_Kingdom
AIT Mechanical Engineer,SWISSto12,"Lausanne, Switzerland",Posted 7 days ago,,/job_display/288228/AIT_Mechanical_Engineer_SWISSto12_Lausanne_Switzerland
Powertrain System Integration Engineer/Senior Engineer,XPeng,"Munich, Germany",Posted 8 days ago,,/job_display/288192/Powertrain_System_Integration_Engineer_Senior_Engineer_XPeng_Munich_Germany
Defect Engineering Manager,ams OSRAM,"Premstätten, Austria",Posted 8 days ago,,/job_display/288188/Defect_Engineering_Manager_ams_OSRAM_Premsttten_Austria
Analog/​Mixed-Signal Design Engineer,ams OSRAM,"Valencia, Spain",Posted 8 days ago,,/job_display/288186/Analog_Mixed_Signal_Design_Engineer_ams_OSRAM_Valencia_Spain
CO₂ Pipeline Transport R&T Project Lead,TotalEnergies,"Stavanger, Norway","Posted 8 days ago
                
                                      
                    Deadline 31 March",,/job_display/288185/CO_Pipeline_Transport_RT_Project_Lead_TotalEnergies_Stavanger_Norway
Vehicle Dynamics CAE Engineer,Applus+ IDIADA,"Tarragona, Spain",Posted 8 days ago,,/job_display/288184/Vehicle_Dynamics_CAE_Engineer_Applus_IDIADA_Tarragona_Spain
BOM Engineer,Alfa Laval,"Monza, Italy","Posted 8 days ago
                
                                      
                    Deadline 31 March",,/job_display/288166/BOM_Engineer_Alfa_Laval_Monza_Italy
Design Engineer,Beyond Gravity,"Linköping, Sweden",Posted 8 days ago,,/job_display/288131/Design_Engineer_Beyond_Gravity_Linkping_Sweden
Quality Engineer,Pirelli,"Settimo Torinese, Italy",Posted 11 days ago,,/job_display/288077/Quality_Engineer_Pirelli_Settimo_Torinese_Italy
"Project Engineer, Electrical Systems",RINA,"Tallin, Estonia",Posted 11 days ago,,/job_display/288076/Project_Engineer_Electrical_Systems_RINA_Tallin_Estonia
Technical Sales Engineer,Ingersoll Rand,"Alfreton, United Kingdom",Posted 11 days ago,,/job_display/288071/Technical_Sales_Engineer_Ingersoll_Rand_Alfreton_United_Kingdom
Manufacturing Engineer,Ingersoll Rand,"Sunderland, United Kingdom",Posted 11 days ago,,/job_display/288070/Manufacturing_Engineer_Ingersoll_Rand_Sunderland_United_Kingdom
System Engineer for Instrument Cluster,Da Vinci Engineering,"Munich, Germany",Posted 11 days ago,,/job_display/288069/System_Engineer_for_Instrument_Cluster_Da_Vinci_Engineering_Munich_Germany
"Principal Robotics Simulation Engineer, AI/ML Software",ADI - Analog Devices,"Limerick or Dublin, Ireland",Posted 11 days ago,,/job_display/288066/Principal_Robotics_Simulation_Engineer_AI_ML_Software_ADI_Analog_Devices_Limerick_or_Dublin_Ireland
RF Design Engineer,IDE - Intracom Defense,"Koropi, Greece",Posted 11 days ago,,/job_display/288061/RF_Design_Engineer_IDE_Intracom_Defense_Koropi_Greece
Senior Electrical Engineer II,Axon Enterprise,"Kassel, Germany",Posted 11 days ago,,/job_display/288060/Senior_Electrical_Engineer_II_Axon_Enterprise_Kassel_Germany
