row_id,base_model,variant_id,role,model,barrier_title,explanation,iteration,timestamp,truncated,is_duplicate,attempts,transport_attempts,transport_error,theme,theme_attempts,theme_error,theme_model,theme_temperature,cluster_text,cluster,cluster_prob,primary_category,secondary_category,human_labelled_clusters
phi4-normative_00_b1,phi4,phi4-normative,normative,phi4-normative-enh:latest,Integration with Existing AC Infrastructure,"Integrating DC systems into existing predominantly AC-based infrastructure poses significant technical challenges, requiring substantial retrofitting and coordination across various sectors.",0,20260505_121738,no,False,1,1,,ac infrastructure integration,1,,gpt-5.4-mini,0.2,"Integration with Existing AC Infrastructure. Integrating DC systems into existing predominantly AC-based infrastructure poses significant technical challenges, requiring substantial retrofitting and coordination across various sectors.",13,1.0,technical,general,Interoperability challenges with existing AC infrastructure
phi4-normative_00_b2,phi4,phi4-normative,normative,phi4-normative-enh:latest,Lack of Standardization,"The absence of universally accepted standards for DC technologies hampers interoperability between different manufacturers' equipment, complicating implementation and scalability.",0,20260505_121738,no,False,1,1,,interoperability standards,1,,gpt-5.4-mini,0.2,"Lack of Standardization. The absence of universally accepted standards for DC technologies hampers interoperability between different manufacturers' equipment, complicating implementation and scalability.",5,1.0,general,technical,DC market readiness and standardization challenges
phi4-normative_00_b3,phi4,phi4-normative,normative,phi4-normative-enh:latest,High Initial Investment Costs,"Transitioning to DC systems involves considerable upfront costs in terms of new hardware, training, and system redesigns, which can deter adoption despite potential long-term savings.",0,20260505_121738,no,False,1,1,,upfront investment costs,1,,gpt-5.4-mini,0.2,"High Initial Investment Costs. Transitioning to DC systems involves considerable upfront costs in terms of new hardware, training, and system redesigns, which can deter adoption despite potential long-term savings.",9,1.0,general,technical,High upfront transition costs
phi4-normative_00_b4,phi4,phi4-normative,normative,phi4-normative-enh:latest,Knowledge and Skill Gaps,"A shortage of skilled professionals with expertise in DC technologies limits the capacity for effective implementation and maintenance, necessitating extensive education and training programs.",0,20260505_121738,no,False,1,1,,workforce skill shortage,1,,gpt-5.4-mini,0.2,"Knowledge and Skill Gaps. A shortage of skilled professionals with expertise in DC technologies limits the capacity for effective implementation and maintenance, necessitating extensive education and training programs.",2,1.0,general,technical,Shortage in skilled workforce 
phi4-normative_00_b5,phi4,phi4-normative,normative,phi4-normative-enh:latest,Regulatory Uncertainty,"The evolving nature of regulations surrounding DC systems creates uncertainty for stakeholders, complicating compliance efforts and potentially delaying adoption due to unclear legal frameworks.",0,20260505_121738,no,False,1,1,,regulatory uncertainty,1,,gpt-5.4-mini,0.2,"Regulatory Uncertainty. The evolving nature of regulations surrounding DC systems creates uncertainty for stakeholders, complicating compliance efforts and potentially delaying adoption due to unclear legal frameworks.",3,1.0,policy,general,Regulatory uncertainty and hurdles
phi4-normative2_00_b1,phi4,phi4-normative2,normative,phi4-normative2-enh:latest,Grid Integration Complexity,"Transitioning from AC to DC systems requires significant changes to existing grid infrastructure, creating technical complexities and potential compatibility issues.",0,20260505_121738,no,False,1,1,,grid compatibility issues,1,,gpt-5.4-mini,0.2,"Grid Integration Complexity. Transitioning from AC to DC systems requires significant changes to existing grid infrastructure, creating technical complexities and potential compatibility issues.",7,1.0,technical,general,AC grid integration complexity
phi4-normative2_00_b2,phi4,phi4-normative2,normative,phi4-normative2-enh:latest,Standardization Gaps,The lack of unified standards for DC technology across regions can hinder widespread adoption by complicating interoperability and regulatory compliance.,0,20260505_121738,no,False,1,1,,interoperability and compliance,1,,gpt-5.4-mini,0.2,Standardization Gaps. The lack of unified standards for DC technology across regions can hinder widespread adoption by complicating interoperability and regulatory compliance.,5,0.754717765418603,general,technical,DC market readiness and standardization challenges
phi4-normative2_00_b3,phi4,phi4-normative2,normative,phi4-normative2-enh:latest,Economic Uncertainty,Initial costs associated with transitioning to DC systems may deter investment due to uncertain return on investment timelines and economic feasibility in different market conditions.,0,20260505_121738,no,False,1,1,,investment risk,1,,gpt-5.4-mini,0.2,Economic Uncertainty. Initial costs associated with transitioning to DC systems may deter investment due to uncertain return on investment timelines and economic feasibility in different market conditions.,8,0.8793042337261688,general,policy,Economic uncertainty and ROI
phi4-normative2_00_b4,phi4,phi4-normative2,normative,phi4-normative2-enh:latest,Skilled Workforce Deficit,"A shortage of professionals trained specifically in DC technologies can slow down implementation, leading to project delays and increased reliance on external expertise.",0,20260505_121738,no,False,1,1,,skilled labor shortage,1,,gpt-5.4-mini,0.2,"Skilled Workforce Deficit. A shortage of professionals trained specifically in DC technologies can slow down implementation, leading to project delays and increased reliance on external expertise.",2,1.0,general,technical,Shortage in skilled workforce 
phi4-normative2_00_b5,phi4,phi4-normative2,normative,phi4-normative2-enh:latest,Public Perception Challenges,"Limited public awareness and understanding of the benefits of DC systems may result in resistance to adoption, particularly in consumer-facing applications like residential energy use.",0,20260505_121738,no,False,1,1,,public awareness,1,,gpt-5.4-mini,0.2,"Public Perception Challenges. Limited public awareness and understanding of the benefits of DC systems may result in resistance to adoption, particularly in consumer-facing applications like residential energy use.",14,1.0,policy,general,Public awareness and acceptance
phi4-subject_matter_00_b1,phi4,phi4-subject_matter,subject_matter,phi4-subject_matter-enh:latest,Interoperability Challenges,"The lack of standardized interfaces between DC systems and existing AC infrastructure can create significant integration challenges, leading to increased complexity and costs during implementation.",0,20260505_121738,no,False,1,1,,integration complexity,1,,gpt-5.4-mini,0.2,"Interoperability Challenges. The lack of standardized interfaces between DC systems and existing AC infrastructure can create significant integration challenges, leading to increased complexity and costs during implementation.",13,1.0,technical,general,Interoperability challenges with existing AC infrastructure
phi4-subject_matter_00_b2,phi4,phi4-subject_matter,subject_matter,phi4-subject_matter-enh:latest,Limited Awareness and Training,"There is insufficient awareness and technical training available for engineers and technicians on DC technologies, which hinders effective adoption and efficient operation in various industries.",0,20260505_121738,no,False,1,1,,lack of technical training,1,,gpt-5.4-mini,0.2,"Limited Awareness and Training. There is insufficient awareness and technical training available for engineers and technicians on DC technologies, which hinders effective adoption and efficient operation in various industries.",2,1.0,general,technical,Shortage in skilled workforce 
phi4-subject_matter_00_b3,phi4,phi4-subject_matter,subject_matter,phi4-subject_matter-enh:latest,Economic Uncertainty,"The initial high capital expenditure required for transitioning to DC systems can deter investment, especially when long-term economic benefits are uncertain or difficult to quantify compared to established AC systems.",0,20260505_121738,no,False,1,1,,high upfront costs,1,,gpt-5.4-mini,0.2,"Economic Uncertainty. The initial high capital expenditure required for transitioning to DC systems can deter investment, especially when long-term economic benefits are uncertain or difficult to quantify compared to established AC systems.",8,1.0,general,policy,Economic uncertainty and ROI
phi4-subject_matter_00_b4,phi4,phi4-subject_matter,subject_matter,phi4-subject_matter-enh:latest,Regulatory Hurdles,"Existing electrical codes and regulations are predominantly designed around AC systems, posing regulatory challenges that need addressing before widespread DC adoption can occur.",0,20260505_121738,no,False,1,1,,ac-centric regulations,1,,gpt-5.4-mini,0.2,"Regulatory Hurdles. Existing electrical codes and regulations are predominantly designed around AC systems, posing regulatory challenges that need addressing before widespread DC adoption can occur.",3,1.0,policy,general,Regulatory uncertainty and hurdles
phi4-subject_matter_00_b5,phi4,phi4-subject_matter,subject_matter,phi4-subject_matter-enh:latest,Supply Chain Constraints,"The current supply chain for DC components is not as mature or extensive as for AC systems, leading to potential shortages and delays in sourcing necessary hardware like converters and cables.",0,20260505_121738,no,False,1,1,,component supply shortages,1,,gpt-5.4-mini,0.2,"Supply Chain Constraints. The current supply chain for DC components is not as mature or extensive as for AC systems, leading to potential shortages and delays in sourcing necessary hardware like converters and cables.",10,1.0,technical,general,DC supply chain constraints
phi4-subject_matter2_00_b1,phi4,phi4-subject_matter2,subject_matter,phi4-subject_matter2-enh:latest,Interoperability Challenges,"The integration of DC systems with existing AC infrastructure can face significant interoperability issues, particularly when it comes to ensuring seamless communication and compatibility between new DC components and legacy AC equipment.",0,20260505_121738,no,False,1,1,,ac-dc compatibility issues,1,,gpt-5.4-mini,0.2,"Interoperability Challenges. The integration of DC systems with existing AC infrastructure can face significant interoperability issues, particularly when it comes to ensuring seamless communication and compatibility between new DC components and legacy AC equipment.",13,0.7821877325526719,technical,general,Interoperability challenges with existing AC infrastructure
phi4-subject_matter2_00_b2,phi4,phi4-subject_matter2,subject_matter,phi4-subject_matter2-enh:latest,Cost Implications for Transition,"The initial costs associated with transitioning from traditional AC systems to DC, including the need for new hardware and redesign of electrical layouts, can be a substantial financial barrier for many organizations considering adoption.",0,20260505_121738,no,False,1,1,,high transition costs,1,,gpt-5.4-mini,0.2,"Cost Implications for Transition. The initial costs associated with transitioning from traditional AC systems to DC, including the need for new hardware and redesign of electrical layouts, can be a substantial financial barrier for many organizations considering adoption.",9,1.0,general,technical,High upfront transition costs
phi4-subject_matter2_00_b3,phi4,phi4-subject_matter2,subject_matter,phi4-subject_matter2-enh:latest,Skilled Workforce Shortage,"There is a limited pool of professionals who are trained or experienced in designing, installing, and maintaining DC systems. This shortage could slow down implementation efforts and increase project costs due to the need for specialized training programs.",0,20260505_121738,no,False,1,1,,skilled labor shortage,1,,gpt-5.4-mini,0.2,"Skilled Workforce Shortage. There is a limited pool of professionals who are trained or experienced in designing, installing, and maintaining DC systems. This shortage could slow down implementation efforts and increase project costs due to the need for specialized training programs.",2,1.0,general,technical,Shortage in skilled workforce 
phi4-subject_matter2_00_b4,phi4,phi4-subject_matter2,subject_matter,phi4-subject_matter2-enh:latest,Regulatory Hurdles,"Existing electrical codes and standards predominantly cater to AC systems. The lack of comprehensive regulatory frameworks specifically addressing DC technology poses a barrier, as it can lead to delays in approvals and increased compliance costs.",0,20260505_121738,no,False,1,1,,regulatory compliance gaps,1,,gpt-5.4-mini,0.2,"Regulatory Hurdles. Existing electrical codes and standards predominantly cater to AC systems. The lack of comprehensive regulatory frameworks specifically addressing DC technology poses a barrier, as it can lead to delays in approvals and increased compliance costs.",3,1.0,policy,general,Regulatory uncertainty and hurdles
phi4-subject_matter2_00_b5,phi4,phi4-subject_matter2,subject_matter,phi4-subject_matter2-enh:latest,Public Perception and Acceptance,"Despite the potential benefits of DC systems, there may be resistance from stakeholders due to unfamiliarity or misconceptions about DC technologies. This could hinder adoption rates until public perception shifts towards recognizing the advantages of DC systems.",0,20260505_121738,no,False,1,1,,public acceptance,1,,gpt-5.4-mini,0.2,"Public Perception and Acceptance. Despite the potential benefits of DC systems, there may be resistance from stakeholders due to unfamiliarity or misconceptions about DC technologies. This could hinder adoption rates until public perception shifts towards recognizing the advantages of DC systems.",14,1.0,policy,general,Public awareness and acceptance
gemma3-generalist_00_b1,gemma3:12b,gemma3-generalist,generalist,gemma-generalist-enh:latest,Lack of Standardized Component Lifecycles,"DC component lifecycles (e.g., converter degradation, cable insulation) are less understood than AC, hindering long-term planning and maintenance budgets.",0,20260505_121738,no,False,2,2,,uncertain component lifecycles,1,,gpt-5.4-mini,0.2,"Lack of Standardized Component Lifecycles. DC component lifecycles (e.g., converter degradation, cable insulation) are less understood than AC, hindering long-term planning and maintenance budgets.",11,1.0,technical,general,DC component cost and availability
gemma3-generalist_00_b2,gemma3:12b,gemma3-generalist,generalist,gemma-generalist-enh:latest,Limited Interoperability Testing & Certification,The absence of widely accepted interoperability testing and certification programs creates uncertainty and risk for system integrators and end-users.,0,20260505_121738,no,False,2,2,,interoperability certification gap,1,,gpt-5.4-mini,0.2,Limited Interoperability Testing & Certification. The absence of widely accepted interoperability testing and certification programs creates uncertainty and risk for system integrators and end-users.,4,1.0,technical,policy,DC interoperability standardization and cartification gap
gemma3-generalist_00_b3,gemma3:12b,gemma3-generalist,generalist,gemma-generalist-enh:latest,Retrofit Costs & Disruption,Replacing existing AC infrastructure with DC systems in established facilities is often prohibitively expensive and disruptive to operations.,0,20260505_121738,no,False,2,2,,retrofit cost disruption,1,,gpt-5.4-mini,0.2,Retrofit Costs & Disruption. Replacing existing AC infrastructure with DC systems in established facilities is often prohibitively expensive and disruptive to operations.,12,1.0,technical,general,Retrofit complexity in existing infrastructure
gemma3-generalist_00_b4,gemma3:12b,gemma3-generalist,generalist,gemma-generalist-enh:latest,Workforce Skill Gap,"A shortage of skilled technicians and engineers familiar with DC system design, installation, and maintenance will slow adoption.",0,20260505_121738,no,False,2,2,,skilled workforce shortage,1,,gpt-5.4-mini,0.2,"Workforce Skill Gap. A shortage of skilled technicians and engineers familiar with DC system design, installation, and maintenance will slow adoption.",2,1.0,general,technical,Shortage in skilled workforce 
gemma3-generalist_00_b5,gemma3:12b,gemma3-generalist,generalist,gemma-generalist-enh:latest,Cybersecurity Vulnerabilities in DC Microgrids,"DC microgrids, with their distributed nature, present unique cybersecurity challenges requiring specialized protection measures and expertise.",0,20260505_121738,no,False,2,2,,cybersecurity challenges,1,,gpt-5.4-mini,0.2,"Cybersecurity Vulnerabilities in DC Microgrids. DC microgrids, with their distributed nature, present unique cybersecurity challenges requiring specialized protection measures and expertise.",1,1.0,technical,policy,Cybersecurity vulnerabilities in DC microgrids
gemma3-generalist2_00_b1,gemma3:12b,gemma3-generalist2,generalist,gemma-generalist2-enh:latest,Lack of Standardized Interoperability,"Current DC component designs often lack standardized communication protocols, hindering seamless integration between different manufacturers' equipment.",0,20260505_121738,no,False,2,2,,interoperability standards,1,,gpt-5.4-mini,0.2,"Lack of Standardized Interoperability. Current DC component designs often lack standardized communication protocols, hindering seamless integration between different manufacturers' equipment.",4,1.0,technical,policy,DC interoperability standardization and cartification gap
gemma3-generalist2_00_b2,gemma3:12b,gemma3-generalist2,generalist,gemma-generalist2-enh:latest,Limited Availability of Skilled Workforce,"A shortage of engineers and technicians with expertise in DC power systems design, installation, and maintenance poses a significant hurdle.",0,20260505_121738,no,False,2,2,,skilled workforce shortage,1,,gpt-5.4-mini,0.2,"Limited Availability of Skilled Workforce. A shortage of engineers and technicians with expertise in DC power systems design, installation, and maintenance poses a significant hurdle.",2,1.0,general,technical,Shortage in skilled workforce 
gemma3-generalist2_00_b3,gemma3:12b,gemma3-generalist2,generalist,gemma-generalist2-enh:latest,Safety Perception & Training,"Public and worker perception of DC safety, coupled with a need for specialized training on high-voltage DC systems, requires proactive mitigation.",0,20260505_121738,no,False,2,2,,safety training needs,1,,gpt-5.4-mini,0.2,"Safety Perception & Training. Public and worker perception of DC safety, coupled with a need for specialized training on high-voltage DC systems, requires proactive mitigation.",-1,0.0,,,
gemma3-generalist2_00_b4,gemma3:12b,gemma3-generalist2,generalist,gemma-generalist2-enh:latest,Legacy Infrastructure Compatibility,"Retrofitting existing AC infrastructure to incorporate DC systems can be complex and costly, limiting adoption in older buildings and facilities.",0,20260505_121738,no,False,2,2,,retrofit complexity,1,,gpt-5.4-mini,0.2,"Legacy Infrastructure Compatibility. Retrofitting existing AC infrastructure to incorporate DC systems can be complex and costly, limiting adoption in older buildings and facilities.",12,0.820123226086908,technical,general,Retrofit complexity in existing infrastructure
gemma3-generalist2_00_b5,gemma3:12b,gemma3-generalist2,generalist,gemma-generalist2-enh:latest,Cybersecurity Vulnerabilities,Increased complexity of DC microgrids and interconnected systems introduces new cybersecurity risks that require specialized protection strategies.,0,20260505_121738,no,False,2,2,,cybersecurity risks,1,,gpt-5.4-mini,0.2,Cybersecurity Vulnerabilities. Increased complexity of DC microgrids and interconnected systems introduces new cybersecurity risks that require specialized protection strategies.,1,0.4822539200847854,technical,policy,Cybersecurity vulnerabilities in DC microgrids
gemma3-normative_00_b1,gemma3:12b,gemma3-normative,normative,gemma-normative-enh:latest,Lack of Standardized Safety Protocols,"Current electrical safety standards are largely built around AC systems. Adapting and creating new safety protocols specifically for DC systems, especially at low and medium voltages, is crucial and currently lagging.",0,20260505_121738,no,False,2,2,,dc safety standards,1,,gpt-5.4-mini,0.2,"Lack of Standardized Safety Protocols. Current electrical safety standards are largely built around AC systems. Adapting and creating new safety protocols specifically for DC systems, especially at low and medium voltages, is crucial and currently lagging.",0,1.0,technical,policy,Gap in DC components safety standards 
gemma3-normative_00_b2,gemma3:12b,gemma3-normative,normative,gemma-normative-enh:latest,Limited Availability of Skilled Technicians,"Installation, maintenance, and troubleshooting of DC systems require specialized skills not widely available in the current electrical workforce, creating a bottleneck for deployment.",0,20260505_121738,no,False,2,2,,skilled labor shortage,1,,gpt-5.4-mini,0.2,"Limited Availability of Skilled Technicians. Installation, maintenance, and troubleshooting of DC systems require specialized skills not widely available in the current electrical workforce, creating a bottleneck for deployment.",2,1.0,general,technical,Shortage in skilled workforce 
gemma3-normative_00_b3,gemma3:12b,gemma3-normative,normative,gemma-normative-enh:latest,Interoperability Concerns with Legacy Equipment,Integrating DC systems with existing AC infrastructure and legacy equipment poses significant challenges and may necessitate costly retrofits or replacements.,0,20260505_121738,no,False,2,2,,legacy integration costs,1,,gpt-5.4-mini,0.2,Interoperability Concerns with Legacy Equipment. Integrating DC systems with existing AC infrastructure and legacy equipment poses significant challenges and may necessitate costly retrofits or replacements.,13,0.5017356095885819,technical,general,Interoperability challenges with existing AC infrastructure
gemma3-normative_00_b4,gemma3:12b,gemma3-normative,normative,gemma-normative-enh:latest,Supply Chain Vulnerabilities for DC Components,"The supply chain for specialized DC components (cables, converters, etc.) may be less robust than for established AC equipment, potentially leading to delays and price volatility.",0,20260505_121738,no,False,2,2,,supply chain risk,1,,gpt-5.4-mini,0.2,"Supply Chain Vulnerabilities for DC Components. The supply chain for specialized DC components (cables, converters, etc.) may be less robust than for established AC equipment, potentially leading to delays and price volatility.",10,0.397545537070186,technical,general,DC supply chain constraints
gemma3-normative_00_b5,gemma3:12b,gemma3-normative,normative,gemma-normative-enh:latest,"Public Perception & ""Fear of the Unknown""","Lack of familiarity with DC technology among the general public can lead to resistance or concerns, hindering acceptance and potentially impacting project permitting.",0,20260505_121738,no,False,2,2,,public unfamiliarity,1,,gpt-5.4-mini,0.2,"Public Perception & ""Fear of the Unknown"". Lack of familiarity with DC technology among the general public can lead to resistance or concerns, hindering acceptance and potentially impacting project permitting.",14,0.7646362933381553,policy,general,Public awareness and acceptance
gemma3-normative2_00_b1,gemma3:12b,gemma3-normative2,normative,gemma-normative2-enh:latest,Harmonized Safety Standards,Lack of globally harmonized safety standards specifically for low and medium voltage DC systems creates uncertainty and inhibits widespread adoption due to differing regulations and potential liability concerns.,0,20260505_121738,no,False,2,2,,safety standard fragmentation,1,,gpt-5.4-mini,0.2,Harmonized Safety Standards. Lack of globally harmonized safety standards specifically for low and medium voltage DC systems creates uncertainty and inhibits widespread adoption due to differing regulations and potential liability concerns.,0,0.027925485031697,technical,policy,Gap in DC components safety standards 
gemma3-normative2_00_b2,gemma3:12b,gemma3-normative2,normative,gemma-normative2-enh:latest,Retrofit Costs & Complexity,"Integrating DC into existing infrastructure (buildings, ports, industry) is significantly more expensive and complex than new builds, creating a disincentive for many stakeholders.",0,20260505_121738,no,False,2,2,,retrofit cost complexity,1,,gpt-5.4-mini,0.2,"Retrofit Costs & Complexity. Integrating DC into existing infrastructure (buildings, ports, industry) is significantly more expensive and complex than new builds, creating a disincentive for many stakeholders.",12,1.0,technical,general,Retrofit complexity in existing infrastructure
gemma3-normative2_00_b3,gemma3:12b,gemma3-normative2,normative,gemma-normative2-enh:latest,Lack of Trained Workforce,"A shortage of engineers, technicians, and installers with the specialized knowledge required to design, deploy, and maintain DC systems poses a significant bottleneck.",0,20260505_121738,no,False,2,2,,skilled labor shortage,1,,gpt-5.4-mini,0.2,"Lack of Trained Workforce. A shortage of engineers, technicians, and installers with the specialized knowledge required to design, deploy, and maintain DC systems poses a significant bottleneck.",2,1.0,general,technical,Shortage in skilled workforce 
gemma3-normative2_00_b4,gemma3:12b,gemma3-normative2,normative,gemma-normative2-enh:latest,Interoperability Concerns,The absence of standardized communication protocols and interfaces between different DC components and systems hinders seamless integration and creates vendor lock-in risks.,0,20260505_121738,no,False,2,2,,lack of standards,1,,gpt-5.4-mini,0.2,Interoperability Concerns. The absence of standardized communication protocols and interfaces between different DC components and systems hinders seamless integration and creates vendor lock-in risks.,4,1.0,technical,policy,DC interoperability standardization and cartification gap
gemma3-normative2_00_b5,gemma3:12b,gemma3-normative2,normative,gemma-normative2-enh:latest,Public Perception & Aesthetics,"Negative public perception of new electrical infrastructure, coupled with aesthetic concerns about DC-specific equipment, can lead to resistance and delays in deployment.",0,20260505_121738,no,False,2,2,,public perception,1,,gpt-5.4-mini,0.2,"Public Perception & Aesthetics. Negative public perception of new electrical infrastructure, coupled with aesthetic concerns about DC-specific equipment, can lead to resistance and delays in deployment.",14,0.6473372686548459,policy,general,Public awareness and acceptance
gemma3-subject_matter_00_b1,gemma3:12b,gemma3-subject_matter,subject_matter,gemma-subject_matter-enh:latest,Lack of Standardized Component Availability,"Limited availability of readily accessible, certified DC components (beyond basic power supplies) across various voltage levels hinders scalability and increases project costs.",0,20260505_121738,no,False,2,2,,component supply shortage,1,,gpt-5.4-mini,0.2,"Lack of Standardized Component Availability. Limited availability of readily accessible, certified DC components (beyond basic power supplies) across various voltage levels hinders scalability and increases project costs.",11,1.0,technical,general,DC component cost and availability
gemma3-subject_matter_00_b2,gemma3:12b,gemma3-subject_matter,subject_matter,gemma-subject_matter-enh:latest,Interoperability Concerns,Absence of standardized communication protocols between DC components from different manufacturers creates integration challenges and potential system instability.,0,20260505_121738,no,False,2,2,,protocol standardization gaps,1,,gpt-5.4-mini,0.2,Interoperability Concerns. Absence of standardized communication protocols between DC components from different manufacturers creates integration challenges and potential system instability.,4,1.0,technical,policy,DC interoperability standardization and cartification gap
gemma3-subject_matter_00_b3,gemma3:12b,gemma3-subject_matter,subject_matter,gemma-subject_matter-enh:latest,Retrofit Complexity & Cost,"Integrating DC systems into existing AC infrastructure presents significant physical and electrical retrofit challenges, impacting cost and downtime.",0,20260505_121738,no,False,2,2,,retrofit integration challenges,1,,gpt-5.4-mini,0.2,"Retrofit Complexity & Cost. Integrating DC systems into existing AC infrastructure presents significant physical and electrical retrofit challenges, impacting cost and downtime.",12,1.0,technical,general,Retrofit complexity in existing infrastructure
